频率(Hz),功率谱密度
0.000000000000000000e+00,3.002435302734375000e+01
1.338540385908962849e-01,1.573202972412109375e+02
2.677080771817925697e-01,1.766881713867187500e+02
4.015621157726888546e-01,1.627453765869140625e+02
5.354161543635851395e-01,1.634701690673828125e+02
6.692701929544814243e-01,1.676024017333984375e+02
8.031242315453777092e-01,1.705790557861328125e+02
9.369782701362739941e-01,1.532613220214843750e+02
1.070832308727170279e+00,1.538770294189453125e+02
1.204686347318066453e+00,1.656639251708984375e+02
1.338540385908962849e+00,1.619297943115234375e+02
1.472394424499859245e+00,1.634173583984375000e+02
1.606248463090755418e+00,1.703549652099609375e+02
1.740102501681651592e+00,1.724091186523437500e+02
1.873956540272547988e+00,1.636335601806640625e+02
2.007810578863444384e+00,1.600313262939453125e+02
2.141664617454340558e+00,1.601004943847656250e+02
2.275518656045236732e+00,1.632318572998046875e+02
2.409372694636132906e+00,1.526012878417968750e+02
2.543226733227029523e+00,1.493441619873046875e+02
2.677080771817925697e+00,1.477801818847656250e+02
2.810934810408821871e+00,1.552502593994140625e+02
2.944788848999718489e+00,1.604815826416015625e+02
3.078642887590614663e+00,1.542366638183593750e+02
3.212496926181510837e+00,1.480519409179687500e+02
3.346350964772407011e+00,1.625853576660156250e+02
3.480205003363303184e+00,1.669715118408203125e+02
3.614059041954199802e+00,1.688542480468750000e+02
3.747913080545095976e+00,1.740533294677734375e+02
3.881767119135992150e+00,1.471542510986328125e+02
4.015621157726888768e+00,1.407644042968750000e+02
4.149475196317784942e+00,1.640190124511718750e+02
4.283329234908681116e+00,1.608785247802734375e+02
4.417183273499577290e+00,1.650743408203125000e+02
4.551037312090473463e+00,1.785639038085937500e+02
4.684891350681369637e+00,2.216511688232421875e+02
4.818745389272265811e+00,1.838651885986328125e+02
4.952599427863162873e+00,1.529657897949218750e+02
5.086453466454059047e+00,1.457878723144531250e+02
5.220307505044955221e+00,1.515289916992187500e+02
5.354161543635851395e+00,1.559258728027343750e+02
5.488015582226747568e+00,1.442007293701171875e+02
5.621869620817643742e+00,1.438855743408203125e+02
5.755723659408539916e+00,1.461213684082031250e+02
5.889577697999436978e+00,1.517256622314453125e+02
6.023431736590333152e+00,1.649323425292968750e+02
6.157285775181229326e+00,1.542259826660156250e+02
6.291139813772125500e+00,1.478805236816406250e+02
6.424993852363021674e+00,1.486729736328125000e+02
6.558847890953917847e+00,1.519494476318359375e+02
6.692701929544814021e+00,1.491280364990234375e+02
6.826555968135710195e+00,1.455288238525390625e+02
6.960410006726606369e+00,1.506135559082031250e+02
7.094264045317503431e+00,1.534485015869140625e+02
7.228118083908399605e+00,1.467952575683593750e+02
7.361972122499295779e+00,1.568313140869140625e+02
7.495826161090191952e+00,1.551577301025390625e+02
7.629680199681088126e+00,1.448810577392578125e+02
7.763534238271984300e+00,1.369850921630859375e+02
7.897388276862880474e+00,1.444897766113281250e+02
8.031242315453777536e+00,1.432964935302734375e+02
8.165096354044672822e+00,1.455395812988281250e+02
8.298950392635569884e+00,1.374297027587890625e+02
8.432804431226465169e+00,1.383511352539062500e+02
8.566658469817362231e+00,1.460924530029296875e+02
8.700512508408259293e+00,1.375322723388671875e+02
8.834366546999154579e+00,1.322405548095703125e+02
8.968220585590051641e+00,1.436836547851562500e+02
9.102074624180946927e+00,1.536595764160156250e+02
9.235928662771843989e+00,1.476233978271484375e+02
9.369782701362739274e+00,1.549648590087890625e+02
9.503636739953636337e+00,1.381004943847656250e+02
9.637490778544531622e+00,1.350311431884765625e+02
9.771344817135428684e+00,1.453126220703125000e+02
9.905198855726325746e+00,1.415378723144531250e+02
1.003905289431722103e+01,1.356565704345703125e+02
1.017290693290811809e+01,1.378492279052734375e+02
1.030676097149901338e+01,1.262801284790039062e+02
1.044061501008991044e+01,1.257926101684570312e+02
1.057446904868080573e+01,1.449687500000000000e+02
