频率(Hz),功率谱密度
0.000000000000000000e+00,2.490325164794921875e+01
1.564386292295333880e-01,1.329015502929687500e+02
3.128772584590667760e-01,1.279995880126953125e+02
4.693158876886001640e-01,1.243740615844726562e+02
6.257545169181335520e-01,1.290053710937500000e+02
7.821931461476669956e-01,1.298936767578125000e+02
9.386317753772003281e-01,1.246271286010742188e+02
1.095070404606733661e+00,1.226091995239257812e+02
1.251509033836267104e+00,1.178720932006835938e+02
1.407947663065800548e+00,1.198878250122070312e+02
1.564386292295333991e+00,1.230449905395507812e+02
1.720824921524867213e+00,1.330973510742187500e+02
1.877263550754400656e+00,1.197729721069335938e+02
2.033702179983933878e+00,1.266772308349609375e+02
2.190140809213467321e+00,1.333533172607421875e+02
2.346579438443000765e+00,1.315779724121093750e+02
2.503018067672534208e+00,1.373364868164062500e+02
2.659456696902067652e+00,1.332630310058593750e+02
2.815895326131601095e+00,1.302674560546875000e+02
2.972333955361134539e+00,1.312100982666015625e+02
3.128772584590667982e+00,1.260310211181640625e+02
3.285211213820200982e+00,1.373209838867187500e+02
3.441649843049734425e+00,1.249004974365234375e+02
3.598088472279267869e+00,1.206617660522460938e+02
3.754527101508801312e+00,1.230053329467773438e+02
3.910965730738334756e+00,1.196325149536132812e+02
4.067404359967867755e+00,1.532869110107421875e+02
4.223842989197401643e+00,1.923701019287109375e+02
4.380281618426934642e+00,1.502690429687500000e+02
4.536720247656468530e+00,1.286201934814453125e+02
4.693158876886001529e+00,1.235656814575195312e+02
4.849597506115535417e+00,1.174992218017578125e+02
5.006036135345068416e+00,1.284153747558593750e+02
5.162474764574601416e+00,1.206347885131835938e+02
5.318913393804135303e+00,1.141209182739257812e+02
5.475352023033668303e+00,1.140092239379882812e+02
5.631790652263202190e+00,1.277844238281250000e+02
5.788229281492735190e+00,1.258466567993164062e+02
5.944667910722269077e+00,1.155162887573242188e+02
6.101106539951802077e+00,1.059261093139648438e+02
6.257545169181335964e+00,1.224614868164062500e+02
6.413983798410868964e+00,1.244073486328125000e+02
6.570422427640401963e+00,1.184774169921875000e+02
6.726861056869935851e+00,1.140026321411132812e+02
6.883299686099468850e+00,1.223052520751953125e+02
7.039738315329002738e+00,1.196813430786132812e+02
