频率(Hz),功率谱密度
0.000000000000000000e+00,3.286936187744140625e+01
1.271604777317701940e-01,1.454653472900390625e+02
2.543209554635403880e-01,1.526653289794921875e+02
3.814814331953105819e-01,1.596402435302734375e+02
5.086419109270807759e-01,1.597473602294921875e+02
6.358023886588509699e-01,1.717764282226562500e+02
7.629628663906211639e-01,1.867914581298828125e+02
8.901233441223913578e-01,1.734156036376953125e+02
1.017283821854161552e+00,1.606913757324218750e+02
1.144444299585931635e+00,1.638495635986328125e+02
1.271604777317701940e+00,1.707507019042968750e+02
1.398765255049472245e+00,1.713503417968750000e+02
1.525925732781242328e+00,1.606398620605468750e+02
1.653086210513012411e+00,1.610437927246093750e+02
1.780246688244782716e+00,1.614395599365234375e+02
1.907407165976553021e+00,1.595023193359375000e+02
2.034567643708323104e+00,1.600908203125000000e+02
2.161728121440093187e+00,1.584921112060546875e+02
2.288888599171863270e+00,1.697714538574218750e+02
2.416049076903633797e+00,1.523740844726562500e+02
2.543209554635403880e+00,1.724832763671875000e+02
2.670370032367173962e+00,2.092455902099609375e+02
2.797530510098944490e+00,2.080361633300781250e+02
2.924690987830714572e+00,1.937646789550781250e+02
3.051851465562484655e+00,1.772915954589843750e+02
3.179011943294254738e+00,1.743758697509765625e+02
3.306172421026024821e+00,1.666616058349609375e+02
3.433332898757795348e+00,1.573340148925781250e+02
3.560493376489565431e+00,1.570726928710937500e+02
3.687653854221335514e+00,1.635203704833984375e+02
3.814814331953106041e+00,1.601736907958984375e+02
3.941974809684876124e+00,1.533359069824218750e+02
4.069135287416646207e+00,1.402308502197265625e+02
4.196295765148416734e+00,1.485390167236328125e+02
4.323456242880186373e+00,1.535498962402343750e+02
4.450616720611956900e+00,1.620269775390625000e+02
4.577777198343726539e+00,1.681593627929687500e+02
4.704937676075497066e+00,1.637336120605468750e+02
4.832098153807267593e+00,1.457093200683593750e+02
4.959258631539037232e+00,1.413733978271484375e+02
5.086419109270807759e+00,1.534858703613281250e+02
5.213579587002578286e+00,1.596751403808593750e+02
5.340740064734347925e+00,1.643978576660156250e+02
5.467900542466118452e+00,1.609023437500000000e+02
5.595061020197888979e+00,1.618940582275390625e+02
5.722221497929658618e+00,1.577070770263671875e+02
5.849381975661429145e+00,1.459252319335937500e+02
5.976542453393198784e+00,1.463493957519531250e+02
6.103702931124969311e+00,1.384053344726562500e+02
6.230863408856739838e+00,1.402275543212890625e+02
6.358023886588509477e+00,1.389800567626953125e+02
6.485184364320280004e+00,1.401329650878906250e+02
6.612344842052049643e+00,1.417027893066406250e+02
6.739505319783820170e+00,1.451852416992187500e+02
6.866665797515590697e+00,1.447537536621093750e+02
6.993826275247360336e+00,1.496390838623046875e+02
7.120986752979130863e+00,1.553319702148437500e+02
7.248147230710901390e+00,1.463769836425781250e+02
7.375307708442671029e+00,1.429173278808593750e+02
7.502468186174441556e+00,1.379874114990234375e+02
7.629628663906212083e+00,1.330122680664062500e+02
7.756789141637981722e+00,1.440879669189453125e+02
7.883949619369752249e+00,1.516425628662109375e+02
8.011110097101521887e+00,1.425831298828125000e+02
8.138270574833292414e+00,1.429537506103515625e+02
8.265431052565062942e+00,1.612714691162109375e+02
8.392591530296833469e+00,1.533183441162109375e+02
8.519752008028602219e+00,1.426752166748046875e+02
8.646912485760372746e+00,1.434531555175781250e+02
8.774072963492143273e+00,1.335360260009765625e+02
8.901233441223913800e+00,1.356263732910156250e+02
9.028393918955684327e+00,1.370028076171875000e+02
9.155554396687453078e+00,1.331198577880859375e+02
9.282714874419223605e+00,1.360701446533203125e+02
9.409875352150994132e+00,1.266824340820312500e+02
9.537035829882764659e+00,1.275883941650390625e+02
9.664196307614535186e+00,1.360563659667968750e+02
9.791356785346305713e+00,1.413868560791015625e+02
9.918517263078074464e+00,1.288325195312500000e+02
1.004567774080984499e+01,1.353141937255859375e+02
1.017283821854161552e+01,1.292122955322265625e+02
1.029999869627338605e+01,1.307394256591796875e+02
1.042715917400515657e+01,1.347705383300781250e+02
1.055431965173692532e+01,1.409255371093750000e+02
1.068148012946869585e+01,1.390179443359375000e+02
1.080864060720046638e+01,1.394782257080078125e+02
1.093580108493223690e+01,1.405683898925781250e+02
1.106296156266400743e+01,1.329158782958984375e+02
1.119012204039577796e+01,1.319400939941406250e+02
1.131728251812754671e+01,1.307077636718750000e+02
1.144444299585931724e+01,1.244196319580078125e+02
1.157160347359108776e+01,1.271988754272460938e+02
1.169876395132285829e+01,1.344081573486328125e+02
1.182592442905462882e+01,1.227576904296875000e+02
1.195308490678639757e+01,1.161124496459960938e+02
1.208024538451816809e+01,1.242327575683593750e+02
1.220740586224993862e+01,1.396369323730468750e+02
1.233456633998170915e+01,1.356771545410156250e+02
1.246172681771347968e+01,1.228839874267578125e+02
1.258888729544524843e+01,1.234500961303710938e+02
1.271604777317701895e+01,1.319898529052734375e+02
1.284320825090878948e+01,1.293789825439453125e+02
1.297036872864056001e+01,1.094190139770507812e+02
1.309752920637233053e+01,1.197580566406250000e+02
1.322468968410409929e+01,1.213048477172851562e+02
1.335185016183586981e+01,1.166144409179687500e+02
1.347901063956764034e+01,1.143396148681640625e+02
1.360617111729941087e+01,1.123228759765625000e+02
1.373333159503118139e+01,1.141519165039062500e+02
1.386049207276295192e+01,1.243241882324218750e+02
1.398765255049472067e+01,1.148633956909179688e+02
1.411481302822649120e+01,1.071713333129882812e+02
1.424197350595826173e+01,1.134225921630859375e+02
1.436913398369003225e+01,1.190789718627929688e+02
1.449629446142180278e+01,1.173656463623046875e+02
1.462345493915357153e+01,1.146608734130859375e+02
1.475061541688534206e+01,1.104450149536132812e+02
1.487777589461711258e+01,1.070307159423828125e+02
1.500493637234888311e+01,1.073879776000976562e+02
1.513209685008065364e+01,1.106933441162109375e+02
1.525925732781242417e+01,1.027999114990234375e+02
1.538641780554419292e+01,1.102436752319335938e+02
1.551357828327596344e+01,1.142748565673828125e+02
1.564073876100773397e+01,1.033963394165039062e+02
1.576789923873950450e+01,1.081694107055664062e+02
1.589505971647127502e+01,1.099898223876953125e+02
1.602222019420304377e+01,1.033276748657226562e+02
1.614938067193481430e+01,1.076802291870117188e+02
1.627654114966658483e+01,9.917570495605468750e+01
1.640370162739835536e+01,1.057928161621093750e+02
1.653086210513012588e+01,1.111954193115234375e+02
1.665802258286189641e+01,9.901083374023437500e+01
1.678518306059366694e+01,9.952095031738281250e+01
1.691234353832543746e+01,1.005317993164062500e+02
1.703950401605720444e+01,9.964237976074218750e+01
1.716666449378897497e+01,9.692466735839843750e+01
1.729382497152074549e+01,8.957894897460937500e+01
1.742098544925251602e+01,9.390328979492187500e+01
1.754814592698428655e+01,9.024625396728515625e+01
1.767530640471605707e+01,9.264518737792968750e+01
1.780246688244782760e+01,8.908226776123046875e+01
1.792962736017959813e+01,9.572581481933593750e+01
1.805678783791136865e+01,8.919081878662109375e+01
1.818394831564313918e+01,8.897214508056640625e+01
1.831110879337490616e+01,9.714212799072265625e+01
1.843826927110667668e+01,9.137387084960937500e+01
1.856542974883844721e+01,9.030416870117187500e+01
1.869259022657021774e+01,8.945069122314453125e+01
1.881975070430198826e+01,8.928567504882812500e+01
1.894691118203375879e+01,8.859355926513671875e+01
1.907407165976552932e+01,8.605756378173828125e+01
1.920123213749729985e+01,8.494557952880859375e+01
1.932839261522907037e+01,8.628339385986328125e+01
1.945555309296084090e+01,8.559677886962890625e+01
1.958271357069261143e+01,8.704350280761718750e+01
1.970987404842437840e+01,8.829958343505859375e+01
1.983703452615614893e+01,8.669714355468750000e+01
1.996419500388791946e+01,8.289772033691406250e+01
2.009135548161968998e+01,8.629470825195312500e+01
2.021851595935146051e+01,8.335998535156250000e+01
2.034567643708323104e+01,8.035650634765625000e+01
2.047283691481500156e+01,7.665262603759765625e+01
2.059999739254677209e+01,7.850912475585937500e+01
2.072715787027854262e+01,8.634746551513671875e+01
2.085431834801031314e+01,8.738784790039062500e+01
2.098147882574208367e+01,8.487434387207031250e+01
2.110863930347385065e+01,8.282499694824218750e+01
2.123579978120562117e+01,8.348049926757812500e+01
2.136296025893739170e+01,8.288423156738281250e+01
2.149012073666916223e+01,8.554940032958984375e+01
2.161728121440093275e+01,8.455998229980468750e+01
2.174444169213270328e+01,7.912551116943359375e+01
2.187160216986447381e+01,7.988229370117187500e+01
2.199876264759624434e+01,7.889970397949218750e+01
2.212592312532801486e+01,7.308258056640625000e+01
2.225308360305978539e+01,7.715340423583984375e+01
2.238024408079155592e+01,8.298371124267578125e+01
2.250740455852332289e+01,7.796604919433593750e+01
2.263456503625509342e+01,7.359432220458984375e+01
2.276172551398686394e+01,7.617282104492187500e+01
2.288888599171863447e+01,7.499672698974609375e+01
2.301604646945040500e+01,7.010660552978515625e+01
2.314320694718217553e+01,6.689331054687500000e+01
2.327036742491394605e+01,6.413774871826171875e+01
2.339752790264571658e+01,6.933909606933593750e+01
2.352468838037748711e+01,7.135737609863281250e+01
2.365184885810925763e+01,7.449457550048828125e+01
2.377900933584102461e+01,7.053376007080078125e+01
2.390616981357279514e+01,6.911815643310546875e+01
2.403333029130456566e+01,6.730223846435546875e+01
2.416049076903633619e+01,6.295994567871093750e+01
2.428765124676810672e+01,6.257130813598632812e+01
2.441481172449987724e+01,6.335688400268554688e+01
2.454197220223164777e+01,6.596970367431640625e+01
2.466913267996341830e+01,6.281538391113281250e+01
2.479629315769518882e+01,6.738227081298828125e+01
2.492345363542695935e+01,6.167762374877929688e+01
2.505061411315872988e+01,6.689805603027343750e+01
2.517777459089049685e+01,6.401882171630859375e+01
2.530493506862226738e+01,6.603955078125000000e+01
2.543209554635403791e+01,6.666567993164062500e+01
2.555925602408580843e+01,6.557527160644531250e+01
2.568641650181757896e+01,6.688667297363281250e+01
2.581357697954934949e+01,6.396547698974609375e+01
2.594073745728112002e+01,6.471902465820312500e+01
2.606789793501289054e+01,6.472344207763671875e+01
2.619505841274466107e+01,6.680560302734375000e+01
2.632221889047643160e+01,5.963931274414062500e+01
2.644937936820819857e+01,6.118135452270507812e+01
2.657653984593996910e+01,6.441297149658203125e+01
2.670370032367173962e+01,6.250595092773437500e+01
2.683086080140351015e+01,6.293726348876953125e+01
2.695802127913528068e+01,6.051618957519531250e+01
2.708518175686705121e+01,5.898481750488281250e+01
2.721234223459882173e+01,6.544016265869140625e+01
2.733950271233059226e+01,6.130492019653320312e+01
2.746666319006236279e+01,5.604790878295898438e+01
2.759382366779413331e+01,6.094644165039062500e+01
2.772098414552590384e+01,6.126930236816406250e+01
2.784814462325767082e+01,6.184188461303710938e+01
2.797530510098944134e+01,6.204113769531250000e+01
2.810246557872121187e+01,6.167909622192382812e+01
2.822962605645298240e+01,5.499311065673828125e+01
2.835678653418475292e+01,5.365634536743164062e+01
2.848394701191652345e+01,5.267126846313476562e+01
2.861110748964829398e+01,5.327507019042968750e+01
2.873826796738006450e+01,5.551058578491210938e+01
2.886542844511183503e+01,5.578258132934570312e+01
2.899258892284360556e+01,5.480292510986328125e+01
2.911974940057537609e+01,5.578250885009765625e+01
2.924690987830714306e+01,5.957936096191406250e+01
2.937407035603891359e+01,5.737639617919921875e+01
2.950123083377068411e+01,5.724357986450195312e+01
2.962839131150245464e+01,5.766244125366210938e+01
2.975555178923422517e+01,5.874306106567382812e+01
2.988271226696599570e+01,5.767823028564453125e+01
3.000987274469776622e+01,5.583348083496093750e+01
3.013703322242953675e+01,5.246265029907226562e+01
3.026419370016130728e+01,5.314836120605468750e+01
3.039135417789307780e+01,5.618915557861328125e+01
3.051851465562484833e+01,5.748278045654296875e+01
3.064567513335661531e+01,5.577141571044921875e+01
3.077283561108838583e+01,6.049849319458007812e+01
3.089999608882015636e+01,5.923801422119140625e+01
3.102715656655192689e+01,5.611347198486328125e+01
3.115431704428369741e+01,5.207302093505859375e+01
3.128147752201546794e+01,5.482366943359375000e+01
3.140863799974723847e+01,5.171183395385742188e+01
3.153579847747900899e+01,5.152910995483398438e+01
3.166295895521077952e+01,5.378239822387695312e+01
3.179011943294255005e+01,5.207162094116210938e+01
3.191727991067431702e+01,5.341462707519531250e+01
3.204444038840608755e+01,4.978743362426757812e+01
3.217160086613785808e+01,5.282719802856445312e+01
3.229876134386962860e+01,5.487320327758789062e+01
3.242592182160139913e+01,5.479962921142578125e+01
3.255308229933316966e+01,2.728479576110839844e+01
