频率(Hz),功率谱密度
0.000000000000000000e+00,5.106362819671630859e+00
1.735128132748741392e-01,3.368264770507812500e+01
3.470256265497482784e-01,2.197693824768066406e+01
5.205384398246224453e-01,2.179723358154296875e+01
6.940512530994965568e-01,2.400485038757324219e+01
8.675640663743706682e-01,1.996389770507812500e+01
1.041076879649244891e+00,2.168865394592285156e+01
1.214589692924118891e+00,1.897470664978027344e+01
1.388102506198993114e+00,1.708734130859375000e+01
1.561615319473867336e+00,1.812594795227050781e+01
1.735128132748741336e+00,1.947379112243652344e+01
1.908640946023615559e+00,1.980525016784667969e+01
2.082153759298489781e+00,2.154901313781738281e+01
2.255666572573364004e+00,2.017807197570800781e+01
2.429179385848237782e+00,2.323001861572265625e+01
2.602692199123112005e+00,2.189799690246582031e+01
2.776205012397986227e+00,1.991033363342285156e+01
2.949717825672860450e+00,1.970444679260253906e+01
3.123230638947734672e+00,2.081324768066406250e+01
3.296743452222608450e+00,2.279924964904785156e+01
3.470256265497482673e+00,2.519939041137695312e+01
3.643769078772356895e+00,2.329789924621582031e+01
3.817281892047231118e+00,2.258112716674804688e+01
3.990794705322105340e+00,2.136830711364746094e+01
4.164307518596979563e+00,2.005554199218750000e+01
4.337820331871853341e+00,2.257681274414062500e+01
4.511333145146728008e+00,2.503736114501953125e+01
4.684845958421601786e+00,2.194397163391113281e+01
4.858358771696475564e+00,2.313641738891601562e+01
5.031871584971350231e+00,2.175828552246093750e+01
5.205384398246224009e+00,2.298377418518066406e+01
5.378897211521098676e+00,2.585452270507812500e+01
5.552410024795972454e+00,2.451774787902832031e+01
5.725922838070846232e+00,2.102042388916015625e+01
5.899435651345720899e+00,2.345564651489257812e+01
6.072948464620594677e+00,2.574226570129394531e+01
6.246461277895469344e+00,2.386901664733886719e+01
6.419974091170343122e+00,2.532518577575683594e+01
6.593486904445216901e+00,2.778631973266601562e+01
6.766999717720091567e+00,3.370926666259765625e+01
6.940512530994965346e+00,5.622876358032226562e+01
7.114025344269840012e+00,1.187660980224609375e+02
7.287538157544713791e+00,3.215099792480468750e+02
7.461050970819587569e+00,3.765062561035156250e+02
7.634563784094462235e+00,1.065943145751953125e+02
7.808076597369336014e+00,3.705257034301757812e+01
7.981589410644210680e+00,3.024413681030273438e+01
8.155102223919085347e+00,2.679804420471191406e+01
8.328615037193959125e+00,2.532659912109375000e+01
8.502127850468832904e+00,2.533088684082031250e+01
8.675640663743706682e+00,2.306618499755859375e+01
8.849153477018580460e+00,2.019240188598632812e+01
9.022666290293456015e+00,2.037369537353515625e+01
9.196179103568329793e+00,3.312596893310546875e+01
9.369691916843203572e+00,4.178063583374023438e+01
9.543204730118077350e+00,3.161864089965820312e+01
9.716717543392951129e+00,3.290703582763671875e+01
9.890230356667826683e+00,2.846156120300292969e+01
1.006374316994270046e+01,2.821562004089355469e+01
1.023725598321757424e+01,3.854151535034179688e+01
1.041076879649244802e+01,5.335459136962890625e+01
1.058428160976732180e+01,5.652169418334960938e+01
1.075779442304219735e+01,3.780735015869140625e+01
1.093130723631707113e+01,3.361582565307617188e+01
1.110482004959194491e+01,3.353424835205078125e+01
1.127833286286681869e+01,3.283251953125000000e+01
1.145184567614169246e+01,2.709825897216796875e+01
1.162535848941656802e+01,2.601861000061035156e+01
1.179887130269144180e+01,2.827884292602539062e+01
1.197238411596631558e+01,2.496559524536132812e+01
1.214589692924118935e+01,2.095000648498535156e+01
1.231940974251606313e+01,2.393067550659179688e+01
1.249292255579093869e+01,1.968789672851562500e+01
1.266643536906581247e+01,1.879704475402832031e+01
1.283994818234068624e+01,2.062901687622070312e+01
1.301346099561556002e+01,2.323383522033691406e+01
1.318697380889043380e+01,2.249714279174804688e+01
1.336048662216530936e+01,2.003185653686523438e+01
1.353399943544018313e+01,2.267998886108398438e+01
1.370751224871505691e+01,2.228845596313476562e+01
1.388102506198993069e+01,2.062285995483398438e+01
1.405453787526480447e+01,2.412291526794433594e+01
1.422805068853968002e+01,2.931163978576660156e+01
1.440156350181455380e+01,3.699436950683593750e+01
1.457507631508942758e+01,3.451132583618164062e+01
1.474858912836430136e+01,3.846951293945312500e+01
1.492210194163917514e+01,5.365297698974609375e+01
1.509561475491405069e+01,4.043814849853515625e+01
1.526912756818892447e+01,2.576217269897460938e+01
1.544264038146379825e+01,2.439133834838867188e+01
1.561615319473867203e+01,2.179180335998535156e+01
1.578966600801354581e+01,1.815586280822753906e+01
1.596317882128842136e+01,1.922830390930175781e+01
1.613669163456329514e+01,2.343481636047363281e+01
1.631020444783817069e+01,1.946502494812011719e+01
1.648371726111304270e+01,1.897670555114746094e+01
1.665723007438791825e+01,1.694778823852539062e+01
1.683074288766279025e+01,2.013294219970703125e+01
1.700425570093766581e+01,2.268815422058105469e+01
1.717776851421254136e+01,2.034771156311035156e+01
1.735128132748741336e+01,1.900774765014648438e+01
1.752479414076228892e+01,1.635387611389160156e+01
1.769830695403716092e+01,1.626897239685058594e+01
1.787181976731203648e+01,1.818743515014648438e+01
1.804533258058691203e+01,1.871359062194824219e+01
1.821884539386178403e+01,1.930521965026855469e+01
1.839235820713665959e+01,2.133414077758789062e+01
1.856587102041153159e+01,2.250205612182617188e+01
1.873938383368640714e+01,2.187083816528320312e+01
1.891289664696128270e+01,1.947330474853515625e+01
1.908640946023615470e+01,1.692046546936035156e+01
1.925992227351103026e+01,1.693036842346191406e+01
1.943343508678590226e+01,1.910160446166992188e+01
1.960694790006077781e+01,1.700863647460937500e+01
1.978046071333565337e+01,1.791471672058105469e+01
1.995397352661052537e+01,1.651422119140625000e+01
2.012748633988540092e+01,2.038100814819335938e+01
2.030099915316027293e+01,2.355757713317871094e+01
2.047451196643514848e+01,2.050053215026855469e+01
2.064802477971002403e+01,1.881604766845703125e+01
2.082153759298489604e+01,2.144393920898437500e+01
2.099505040625977159e+01,2.179660224914550781e+01
2.116856321953464359e+01,2.128719329833984375e+01
2.134207603280951915e+01,2.075194549560546875e+01
2.151558884608439470e+01,2.298291015625000000e+01
2.168910165935926670e+01,2.331248855590820312e+01
2.186261447263414226e+01,2.120993041992187500e+01
2.203612728590901426e+01,2.244912910461425781e+01
2.220964009918388982e+01,2.214535903930664062e+01
2.238315291245876537e+01,2.242826461791992188e+01
2.255666572573363737e+01,2.092090606689453125e+01
2.273017853900851293e+01,1.831396293640136719e+01
2.290369135228338493e+01,1.732238769531250000e+01
2.307720416555826048e+01,1.681732940673828125e+01
2.325071697883313604e+01,1.676752853393554688e+01
2.342422979210800804e+01,1.716178131103515625e+01
2.359774260538288360e+01,1.426681041717529297e+01
2.377125541865775560e+01,1.648248100280761719e+01
2.394476823193263115e+01,1.682097816467285156e+01
2.411828104520750671e+01,1.834170150756835938e+01
2.429179385848237871e+01,1.529192161560058594e+01
2.446530667175725426e+01,1.419132328033447266e+01
2.463881948503212627e+01,1.633237648010253906e+01
2.481233229830700182e+01,1.580555152893066406e+01
2.498584511158187738e+01,1.450454902648925781e+01
2.515935792485674938e+01,1.343385124206542969e+01
2.533287073813162493e+01,1.508339691162109375e+01
2.550638355140649693e+01,1.391703510284423828e+01
2.567989636468137249e+01,1.187797641754150391e+01
2.585340917795624804e+01,1.175691127777099609e+01
2.602692199123112005e+01,1.141319751739501953e+01
2.620043480450599560e+01,1.119874000549316406e+01
2.637394761778086760e+01,1.196106052398681641e+01
2.654746043105574316e+01,1.152777004241943359e+01
2.672097324433061871e+01,1.110461235046386719e+01
2.689448605760549071e+01,1.395337867736816406e+01
2.706799887088036627e+01,1.508063316345214844e+01
2.724151168415523827e+01,1.280930995941162109e+01
2.741502449743011383e+01,1.146355915069580078e+01
2.758853731070498938e+01,1.373622226715087891e+01
2.776205012397986138e+01,1.423122501373291016e+01
2.793556293725473694e+01,1.248293304443359375e+01
2.810907575052960894e+01,1.450581645965576172e+01
2.828258856380448449e+01,1.316926097869873047e+01
2.845610137707936005e+01,1.237301063537597656e+01
2.862961419035423205e+01,1.377041625976562500e+01
2.880312700362910761e+01,1.433733558654785156e+01
2.897663981690397961e+01,1.364215755462646484e+01
2.915015263017885516e+01,1.183858966827392578e+01
2.932366544345373072e+01,1.152068424224853516e+01
2.949717825672860272e+01,1.251638507843017578e+01
2.967069107000347827e+01,1.339250564575195312e+01
2.984420388327835028e+01,1.174770736694335938e+01
3.001771669655322583e+01,1.027861404418945312e+01
3.019122950982810138e+01,1.025421524047851562e+01
3.036474232310297339e+01,1.228384494781494141e+01
3.053825513637784894e+01,1.344078922271728516e+01
3.071176794965272094e+01,1.217526531219482422e+01
3.088528076292759650e+01,1.141567325592041016e+01
3.105879357620247205e+01,1.067414474487304688e+01
3.123230638947734406e+01,1.043820381164550781e+01
3.140581920275221961e+01,1.169154453277587891e+01
3.157933201602709161e+01,1.247150135040283203e+01
3.175284482930196717e+01,1.221349811553955078e+01
3.192635764257684272e+01,1.224840927124023438e+01
3.209987045585171472e+01,1.241039562225341797e+01
3.227338326912659028e+01,1.050012969970703125e+01
3.244689608240146583e+01,9.882395744323730469e+00
3.262040889567634139e+01,7.799171924591064453e+00
3.279392170895120984e+01,7.991286277770996094e+00
3.296743452222608539e+01,9.011634826660156250e+00
3.314094733550096095e+01,1.067234611511230469e+01
3.331446014877583650e+01,9.076833724975585938e+00
3.348797296205071206e+01,9.615492820739746094e+00
3.366148577532558051e+01,1.000544071197509766e+01
3.383499858860045606e+01,1.045430374145507812e+01
3.400851140187533161e+01,1.065654468536376953e+01
3.418202421515020717e+01,1.101031494140625000e+01
3.435553702842508272e+01,9.156670570373535156e+00
3.452904984169995117e+01,8.795052528381347656e+00
3.470256265497482673e+01,8.881156921386718750e+00
3.487607546824970228e+01,9.114729881286621094e+00
3.504958828152457784e+01,9.193979263305664062e+00
3.522310109479945339e+01,9.968382835388183594e+00
3.539661390807432184e+01,1.141190338134765625e+01
3.557012672134919740e+01,8.891921043395996094e+00
3.574363953462407295e+01,8.298377990722656250e+00
3.591715234789894851e+01,8.570829391479492188e+00
3.609066516117382406e+01,8.717811584472656250e+00
3.626417797444869251e+01,1.062567806243896484e+01
3.643769078772356806e+01,9.256641387939453125e+00
3.661120360099844362e+01,9.375679969787597656e+00
3.678471641427331917e+01,9.374657630920410156e+00
3.695822922754819473e+01,8.757345199584960938e+00
3.713174204082306318e+01,8.201678276062011719e+00
3.730525485409793873e+01,1.024068355560302734e+01
3.747876766737281429e+01,9.343138694763183594e+00
3.765228048064768984e+01,7.925269603729248047e+00
3.782579329392256540e+01,8.575662612915039062e+00
3.799930610719743385e+01,9.407826423645019531e+00
3.817281892047230940e+01,7.965836524963378906e+00
3.834633173374718496e+01,7.879414081573486328e+00
3.851984454702206051e+01,7.703258037567138672e+00
3.869335736029693606e+01,7.602453231811523438e+00
3.886687017357180451e+01,8.623109817504882812e+00
3.904038298684668007e+01,8.200611114501953125e+00
3.921389580012155562e+01,8.146279335021972656e+00
3.938740861339643118e+01,7.731074333190917969e+00
3.956092142667130673e+01,8.176062583923339844e+00
3.973443423994617518e+01,7.769995689392089844e+00
3.990794705322105074e+01,7.719271659851074219e+00
4.008145986649592629e+01,7.727649211883544922e+00
4.025497267977080185e+01,7.052096366882324219e+00
4.042848549304567740e+01,7.832759380340576172e+00
4.060199830632054585e+01,7.866862773895263672e+00
4.077551111959542141e+01,7.399887561798095703e+00
4.094902393287029696e+01,6.668922424316406250e+00
4.112253674614517251e+01,6.601115703582763672e+00
4.129604955942004807e+01,8.524426460266113281e+00
4.146956237269491652e+01,8.843519210815429688e+00
4.164307518596979207e+01,8.422949790954589844e+00
4.181658799924466763e+01,7.261865139007568359e+00
4.199010081251954318e+01,7.074165821075439453e+00
4.216361362579441874e+01,6.991420269012451172e+00
4.233712643906928719e+01,7.281180381774902344e+00
4.251063925234416274e+01,8.174594879150390625e+00
4.268415206561903830e+01,8.885749816894531250e+00
4.285766487889391385e+01,8.580442428588867188e+00
4.303117769216878941e+01,6.933927536010742188e+00
4.320469050544365786e+01,7.213616371154785156e+00
4.337820331871853341e+01,8.191121101379394531e+00
4.355171613199340896e+01,8.808747291564941406e+00
4.372522894526828452e+01,8.100175857543945312e+00
4.389874175854316007e+01,7.583800315856933594e+00
4.407225457181802852e+01,8.119108200073242188e+00
4.424576738509290408e+01,8.431977272033691406e+00
4.441928019836777963e+01,4.025399684906005859e+00
